,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
87,2011,Steven Caulker,43.0,0,0.0,0.0,181.0,10.0,0.0,0.0,0.0,0.0,1955.0,0.0
88,2011,Kyle Naughton,1.7,0,1261.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,2032.0,0.0
89,2011,Kyle Walker,1.7,Defender,1775.0,0.0,119.0,13.0,0.0,0.0,0.0,0.0,2749.0,0.0
90,2011,Luka Modric,23.8,0,2534.0,0.0,0.0,13.0,0.0,0.0,83.0,0.0,3200.0,0.0
91,2016,Joel Matip,17.0,Defender,1699.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,2062.0,0.0
92,2016,Dejan Lovren,12.75,Defender,2001.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,2387.0,0.0
93,2016,Nathaniel Clyne,17.85,Defender,1795.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,2693.0,3324.0
94,2016,Emre Can,12.75,Midfielder,1659.0,0.0,0.0,0.0,66.0,0.0,45.0,0.0,2097.0,0.0
95,2016,Jordan Henderson,23.8,Midfielder,2057.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,2423.0,0.0
96,2016,James Milner,12.75,Midfielder,2168.0,0.0,0.0,0.0,94.0,7.0,0.0,0.0,3323.0,3159.0
97,2016,Georginio Wijnaldum,21.25,Midfielder,1625.0,0.0,0.0,0.0,0.0,6.0,60.0,9.0,0.0,2975.0
98,2016,Roberto Firmino,29.75,Forward,1543.0,9.0,0.0,0.0,58.0,11.0,100.0,7.0,2251.0,3068.0
99,2015,Alberto Moreno,12.75,Defender,0.0,0.0,0.0,0.0,92.0,0.0,0.0,4.0,2170.0,0.0
100,2015,Nathaniel Clyne,10.2,Defender,1510.0,0.0,0.0,10.0,84.0,0.0,0.0,0.0,2358.0,0.0
101,2015,Emre Can,10.2,Midfielder,1793.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,2260.0,0.0
102,2015,James Milner,11.9,Midfielder,1377.0,0.0,0.0,0.0,68.0,5.0,0.0,11.0,2065.0,0.0
103,2014,Martin Skrtel,11.9,0,1727.0,0.0,312.0,12.0,0.0,0.0,0.0,0.0,2268.0,0.0
104,2014,Dejan Lovren,10.2,Defender,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,1782.0,0.0
105,2014,Jordan Henderson,12.75,Midfielder,2181.0,0.0,0.0,13.0,85.0,6.0,50.0,9.0,2793.0,0.0
106,2014,Philippe Coutinho,13.6,Midfielder,1601.0,0.0,0.0,0.0,61.0,5.0,103.0,5.0,2368.0,0.0
107,2013,Martin Skrtel,12.75,0,1760.0,0.0,409.0,0.0,0.0,7.0,0.0,0.0,2432.0,0.0
108,2013,Glen Johnson,10.2,0,1456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.0,0.0
109,2013,Steven Gerrard,9.78,0,2219.0,0.0,90.0,0.0,98.0,13.0,60.0,13.0,2843.0,0.0
110,2013,Jordan Henderson,8.93,Midfielder,2026.0,0.0,0.0,0.0,83.0,0.0,0.0,7.0,2573.0,0.0
111,2013,Philippe Coutinho,8.5,Midfielder,1477.0,0.0,0.0,0.0,74.0,0.0,94.0,7.0,2062.0,0.0
112,2012,Daniel Agger,12.75,0,1744.0,0.0,196.0,14.0,0.0,0.0,0.0,0.0,2189.0,0.0
113,2011,Martin Skrtel,9.35,0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,1931.0,0.0
114,2011,Glen Johnson,12.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.0,0.0
115,2011,Jordan Henderson,7.23,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.0,0.0
116,2011,Charlie Adam,3.83,0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1898.0,0.0
117,2011,Stewart Downing,10.2,0,1245.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,1772.0,0.0
118,2016,Thibaut Courtois,0.0,Goalkeeper,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3240.0
119,2016,Gary Cahill,0.0,Defender,1849.0,0.0,164.0,14.0,0.0,6.0,0.0,0.0,2273.0,3296.0
120,2013,John Terry,0.0,Defender,1709.0,0.0,224.0,16.0,0.0,0.0,0.0,0.0,2104.0,0.0
